Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,CL25,22,2025,5,14,5/14/25,CAZ,AME,0,1,180,215,224,2.8,3.15,3.24
,CL25,22,2025,5,15,5/15/25,TIG,TOL,0,0,105,235,338,2.05,3.35,4.38
,CL25,23,2025,5,18,5/18/25,AME,CAZ,2,1,110,225,260,,,
,CL25,23,2025,5,17,5/17/25,TOL,TIG,3,0,-135,265,360,,,
,CL25,24,2025,5,22,5/22/25,AME,TOL,0,0,-118,290,360,1.85,3.9,4.6
,CL25,25,2025,5,25,5/25/25,TOL,AME,2,0,205,220,140,,,
,AP25,1,2025,7,11,7/11/25,PUE,ATLX,2,3,155,215,185,,,
,AP25,1,2025,7,11,7/11/25,TIJ,QRO,1,0,-195,340,475,,,
,AP25,1,2025,7,11,7/11/25,JUA,AME,1,1,390,240,-130,,,
,AP25,1,2025,7,12,7/12/25,TOL,NEC,3,1,-175,320,425,,,
,AP25,1,2025,7,12,7/12/25,CAZ,MAZ,0,0,-380,475,950,,,
,AP25,1,2025,7,12,7/12/25,SAN,PUM,3,0,195,230,140,,,
,AP25,1,2025,7,13,7/13/25,PAC,MTY,3,0,125,250,195,,,
,AP25,1,2025,7,13,7/13/25,LEO,ASL,0,1,-150,290,390,,,
,AP25,2,2025,7,16,7/16/25,SAN,TOL,2,4,475,340,-195,,,
,AP25,2,2025,7,16,7/16/25,AME,TIJ,3,1,-285,425,650,,,
,AP25,2,2025,7,18,7/18/25,NEC,QRO,3,1,-145,290,370,,,
,AP25,2,2025,7,18,7/18/25,MAZ,PUE,2,1,120,215,245,,,
,AP25,2,2025,7,18,7/18/25,ASL,MTY,0,1,205,240,130,,,
,AP25,2,2025,7,19,7/19/25,LEO,GDL,1,0,165,225,165,,,
,AP25,2,2025,7,19,7/19/25,TIG,JUA,1,0,-205,310,600,,,
,AP25,2,2025,7,19,7/19/25,ATLX,CAZ,3,3,280,250,-105,,,
,AP25,2,2025,7,20,7/20/25,PUM,PAC,2,3,205,235,130,,,
,AP25,3,2025,7,25,7/25/25,QRO,PUM,0,2,300,235,-105,,,
,AP25,3,2025,7,25,7/25/25,PUE,SAN,1,0,100,255,265,,,
,AP25,3,2025,7,25,7/25/25,TIJ,JUA,1,1,-140,295,360,,,
,AP25,3,2025,7,26,7/26/25,TOL,TIG,3,4,-130,265,360,,,
,AP25,3,2025,7,26,7/26/25,CAZ,LEO,4,1,-195,340,475,,,
,AP25,3,2025,7,26,7/26/25,GDL,ASL,4,3,-175,300,475,,,
,AP25,3,2025,7,26,7/26/25,MTY,ATLX,3,1,-210,350,500,,,
,AP25,3,2025,7,26,7/26/25,NEC,AME,1,1,245,255,105,,,
,AP25,3,2025,7,26,7/26/25,PAC,MAZ,1,0,-225,360,550,,,
,AP25,4,2025,8,8,8/8/25,TIG,PUE,7,0,-250,370,650,,,
,AP25,4,2025,8,9,8/9/25,AME,QRO,1,0,-475,550,1100,,,
,AP25,4,2025,8,9,8/9/25,MAZ,TIJ,2,2,160,230,170,,,
,AP25,4,2025,8,9,8/9/25,ATLX,PAC,0,3,265,250,100,,,
,AP25,4,2025,8,10,8/10/25,PUM,NEC,1,1,100,265,314,2,3.65,4.14
,AP25,4,2025,8,10,8/10/25,SAN,GDL,1,0,380,300,-150,,,
,AP25,4,2025,8,11,8/11/25,JUA,TOL,0,2,265,260,-105,,,
,AP25,4,2025,8,11,8/11/25,ASL,CAZ,0,1,320,285,-130,,,
,AP25,4,2025,8,11,8/11/25,LEO,MTY,1,3,210,245,125,,,
